card_number,guest_name,guest_type,guest_login_type,guest_time
V4TV50E9,张一,1,1,2021-10-01 8:00:00
R6JQ32L8,李二,2,0,2021-10-02 13:00:00
H9ZK17W4,王三,3,1,2021-10-03 14:00:00
G5FS28X3,赵四,2,0,2021-10-04 9:00:00
B7DN39Y2,孙五,1,1,2021-10-05 17:00:00
N8EM40Z1,周六,3,0,2021-10-06 18:00:00
C9FN51A0,吴七,2,1,2021-10-07 18:00:00
D0GO62B9,郑八,1,0,2021-10-08 19:00:00
E1HP73C8,冯九,3,1,2021-10-09 18:00:00
F2IQ84D7,陈十,2,0,2021-10-10 17:00:00
S3JR95E6,蒋十一,1,1,2021-10-11 22:00:00
T4KS06F5,沈十二,3,0,2021-10-12 18:00:00
U5LT17G4,韩十三,2,1,2021-10-13 00:00:00
V6MU28H3,杨十四,1,0,2021-10-14 9:00:00
W7NV39I2,朱十五,3,1,2021-10-15 9:00:00
X8OW40J1,秦十六,2,0,2021-10-16 8:00:00
L3CV96P7,刘一,1,1,2021-10-01 12:00:00
M4DW07Q6,李二,2,0,2021-10-02 17:00:00
N5EX18R5,张三,3,1,2021-10-03 14:00:00
O6FY29S4,王四,2,0,2021-10-04 15:00:00
P7GZ30T3,赵五,1,1,2021-10-05 16:00:00
Q8HA41U2,钱六,3,0,2021-10-06 17:00:00
R9IB52V1,孙七,2,1,2021-10-07 18:00:00
S0JC63W0,周八,1,0,2021-10-08 19:00:00
Q8HA41U2,钱六,3,0,2021-10-06 17:00:00
R9IB52V1,孙七,2,1,2021-10-07 18:00:00
S0JC63W0,周八,1,0,2021-10-08 19:00:00
A1B2C3D4,李四,3,0,2021-10-09 00:00:00
E5F6G7H8,王五,2,1,2021-10-10 01:00:00
I9J0K1L2,赵六,1,0,2021-10-11 02:00:00
M3N4O5P6,孙七,3,0,2021-10-12 03:00:00
Q7R8S9T0,周八,2,1,2021-10-13 04:00:00
A1B2C3D4,李四,1,0,2021-10-14 05:00:00
E5F6G7H8,王五,3,0,2021-10-15 06:00:00
I9J0K1L2,赵六,2,1,2021-10-16 07:00:00
M3N4O5P6,孙七,1,0,2021-10-17 08:00:00
Q7R8S9T0,周八,3,0,2021-10-18 09:00:00
A1B2C3D4,李四,2,1,2021-10-19 10:00:00
E5F6G7H8,王五,1,0,2021-10-20 11:00:00
I9J0K1L2,赵六,3,0,2021-10-21 12:00:00
M3N4O5P6,孙七,2,1,2021-10-22 13:00:00
Q7R8S9T0,周八,1,0,2021-10-23 14:00:00
A1B2C3D4,李四,3,0,2021-10-24 15:00:00
E5F6G7H8,王五,2,1,2021-10-25 16:00:00
I9J0K1L2,赵六,1,0,2021-10-26 17:00:00
M3N4O5P6,孙七,3,0,2021-10-27 18:00:00
Q7R8S9T0,周八,2,1,2021-10-28 19:00:00
A1B2C3D4,李四,1,0,2021-10-29 20:00:00
E5F6G7H8,王五,3,0,2021-10-30 21:00:00
I9J0K1L2,赵六,2,1,2021-10-31 22:00:00
M3N4O5P6,孙七,1,0,2021-11-01 23:00:00
Q8HA41U2,钱六,3,0,2021-10-06 09:00:00
R9IB52V1,孙七,2,1,2021-10-07 18:00:00  
S0JC63W0,周八,1,0,2021-10-08 18:00:00
T9KD74X3,吴九,2,0,2021-10-09 18:00:00
U8LE85Y4,郑十,1,1,2021-10-10 09:00:00
V7MF96Z5,赵二,3,0,2021-10-11 14:00:00
W6NG07A6,钱三,2,1,2021-10-12 18:00:00
X5OH18B7,孙四,1,0,2021-10-13 09:00:00  
Y4PI29C8,周五,3,1,2021-10-14 18:00:00
Z3QJ30D9,吴六,2,0,2021-10-15 00:00:00
A2RK41E0,郑七,1,1,2021-10-16 09:00:00
B1SL52F1,赵八,3,0,2021-10-17 18:00:00
C0TM63G2,钱九,2,1,2021-10-18 09:00:00
D9UN74H3,孙十,1,0,2021-10-19 18:00:00
E8VO85I4,周二,3,1,2021-10-20 09:00:00
F7WP96J5,吴三,2,0,2021-10-21 12:00:00
G6XQ07K6,郑四,1,1,2021-10-22 18:00:00 
H5YR18L7,赵五,3,0,2021-10-23 09:00:00
I4ZS29M8,钱六,2,1,2021-10-24 18:00:00
J3AT30N9,孙七,1,0,2021-10-25 09:00:00
K2BU41O0,周八,3,1,2021-10-26 18:00:00
L1CV52P1,吴九,2,0,2021-10-27 00:00:00
M0DW63Q2,郑十,1,1,2021-10-28 09:00:00
N9EX74R3,赵二,3,0,2021-10-29 18:00:00 
O8FY85S4,钱三,2,1,2021-10-30 09:00:00
P7GZ96T5,孙四,1,0,2021-10-31 18:00:00
Q6HA07U6,周五,3,1,2021-11-01 09:00:00
R5IB18V7,吴六,2,0,2021-11-02 12:00:00
S4JC29W8,郑七,1,1,2021-11-03 18:00:00
T3KD30X9,赵八,3,0,2021-11-04 09:00:00 
U2LE41Y0,钱九,2,1,2021-11-05 18:00:00
V1MF52Z1,孙十,1,0,2021-11-06 09:00:00
W0NG63A2,周二,3,1,2021-11-07 18:00:00
X9OH74B3,吴三,2,0,2021-11-08 00:00:00
Y8PI85C4,郑四,1,1,2021-11-09 09:00:00
Z7QJ96D5,赵五,3,0,2021-11-10 18:00:00
